id,source,url,date,title,keywords,summary
38,guardian,https://www.theguardian.com/film/video/2014/jan/16/kelly-victor-film-you-should-watch-video,2014-01-16 00:00:00,Why Kelly + Victor is the one film you should watch this week - video review,,
39,npr,https://www.npr.org/2020/09/12/909131065/will-2020-be-the-year-of-the-young-voter,2020-09-12 00:00:00,Will 2020 Be The Year Of The Young Voter?,,
40,npr,https://www.npr.org/2020/09/12/912081447/trump-says-he-prevented-panic-on-pandemic-thats-not-his-usual-approach,2020-09-12 00:00:00,Trump Says He Prevented Panic On Pandemic. That's Not His Usual Approach,,
41,npr,https://www.npr.org/sections/health-shots/2020/09/12/911987987/a-covid-19-vaccine-may-be-only-50-effective-is-that-good-enough,2020-09-12 00:00:00,A COVID-19 Vaccine May Be Only 50% Effective. Is That Good Enough?,,
42,npr,https://www.npr.org/2020/09/12/911949654/in-coastal-elites-five-stories-of-life-in-2020,2020-09-12 00:00:00,"In 'Coastal Elites,' Five Stories Of Life In 2020",,
43,nytimes,https://www.nytimes.com/2020/09/10/opinion/sway-kara-swisher-trailer.html,2020-09-10 00:00:00,‘Sway’: Kara Swisher Hosts a New Podcast - The New York Times,,
44,nytimes,https://www.nytimes.com/2020/09/12/climate/oregon-wildfires.html,2020-09-12 00:00:00,"In Oregon, a New Climate Menace: Fires Raging Where They Don’t Usually Burn",,
45,nytimes,https://www.nytimes.com/2020/09/12/nyregion/coronavirus-business-nyc-reopen.html,2020-09-12 00:00:00,Inside the Clash Between Powerful Business Leaders and N.Y.C.’s Mayor,,
46,nytimes,https://www.nytimes.com/2020/09/12/us/politics/trump-scandals-woodward-midwest.html,2020-09-12 00:00:00,"A Big Florida Poll, Nevada Tightens, Trump on Defense: This Week in the 2020 Race",,
47,nytimes,https://www.nytimes.com/2020/09/11/theater/how-to-change-theater.html,2020-09-11 00:00:00,How to Birth a New American Theater,,
48,nytimes,https://www.nytimes.com/2020/09/11/theater/how-to-revolutionize-theater.html,2020-09-11 00:00:00,20 Theater Figures on How to ‘Revolutionize’ Their World,,
49,nytimes,https://www.nytimes.com/2020/09/11/briefing/11-of-our-best-weekend-reads.html,2020-09-11 00:00:00,11 of Our Best Weekend Reads,,
50,nytimes,https://www.nytimes.com/interactive/2020/09/11/briefing/news-quiz-wildfires-coronavirus-tennis.html,2020-09-11 00:00:00,"News Quiz: Wildfires, Coronavirus, U.S. Open",,
51,nytimes,https://www.nytimes.com/2020/09/11/nyregion/coronavirus-brooklyn-hospital-workers.html,2020-09-11 00:00:00,‘Covid Will Not Win’: Meet the Force Powering Brooklyn Hospital,,
52,nytimes,https://www.nytimes.com/2020/09/11/world/europe/kim-darroch-washington-ambassador.html,2020-09-11 00:00:00,"From Miner’s Grandson to Lord Darroch of Kew, With a Touch of Irony",,
53,nytimes,https://www.nytimes.com/2020/09/09/style/what-should-i-do-this-weekend.html,2020-09-09 00:00:00,How Quarantine Killed the Weekend,,
54,wsj,http://marketwatch.com/story/fauci-tells-americans-to-hunker-down-this-fall-and-winter-its-not-going-to-be-easy-2020-09-11?mod=hp_minor_pos19,2020-09-11 00:00:00,Fauci tells Americans to ‘hunker down’ this fall and winter: ‘It’s not going to be easy’,,
55,wsj,http://marketwatch.com/story/the-two-things-that-are-most-likely-wrecking-your-retirement-savings-2020-09-11?mod=hp_minor_pos20,2020-09-11 00:00:00,The two things that are most likely wrecking your retirement savings,,
